SKU	Width (in)	Height (in)	Depth (in)	Length (in)	Angle (°)	Orientation
79.0014.5	3.62	1.81	2.36		75	Landscape
79.0014.14	4.13	3.43	2.76		75	Landscape
79.0014.4	5.34	4.61	2.76		75	Landscape
79.0014.6	4.32	5.59	2.76		75	Portrait
79.0014.10	10.00	8.88	4.00		75	Landscape
79.0014.11	7.50	11.38	4.00		75	Portrait
79.0014.7	12.25	11.00	4.00		75	Landscape
79.0014.9	9.63	14.00	4.00		75	Portrait
79.0014.18	5.30	5.00	5.50		65	Portrait / Landscape
28.0488.2			2.67			
28.0487.254			3.15			
28.0487.345			3.15			
28.0487.248			45.00			
79.0140.1	3.62	2.00	1.00			
79.0140.2	4.13	3.50	1.00			
79.0140.3	4.32	5.50	1.00			
79.0140.4	5.34	4.50	1.00			
79.0014.19	3.62	1.81	1.25		60	Landscape
79.0014.20	4.13	3.43	2.76		60	Landscape
79.0014.21	4.32	5.59	2.76		60	Portrait
79.0014.22	5.34	4.61	2.76		60	Landscape
79.0014.8	3.62	1.81	2.36		75	Landscape
79.0014.15	4.13	3.43	2.76		75	Landscape
79.0014.12	5.34	4.61	2.76		75	Landscape
79.0014.13	4.32	5.59	2.76		75	Portrait
79.0095.5	14.75	8.25	4.00			
79.0095.4	9.63	14.00	4.00			
79.0095.1	3.63	3.00	1.50			
79.0095.2	4.50	7.00	2.00			
79.0095.3	5.63	5.50	2.00			
